energy_mev,n_events,entries,mean_mm,quantile_used,quantile_mm,quantile_eff_mm,smax_mm,below_fit_threshold,in_fit_exclude_band,geometry_saturated
1940,10002,4169254960,1391.956,0.9999,7400.000,8140.000,11400.000,0,0,0
1960,10002,4212883450,1383.704,0.9999,7600.000,8360.000,10100.000,0,0,0
1980,10002,4255300829,1391.546,0.9999,7700.000,8470.000,11600.000,0,0,0
2000,10002,4298634176,1395.692,0.9999,7300.000,8030.000,10000.000,0,0,0
2030,10002,4362764665,1397.790,0.9999,7300.000,8030.000,10500.000,0,0,0
2060,10002,4427267554,1404.428,0.9999,7600.000,8360.000,11800.000,0,0,0
2090,10002,4491043606,1408.900,0.9999,7500.000,8250.000,11400.000,0,0,0
2120,10002,4555762838,1417.249,0.9999,7700.000,8470.000,11400.000,0,0,0
2150,10002,4620700541,1420.962,0.9999,7700.000,8470.000,11600.000,0,0,0
2180,10002,4684671521,1428.554,0.9999,7600.000,8360.000,9800.000,0,0,0
2210,10002,4749174169,1432.538,0.9999,7600.000,8360.000,11800.000,0,0,0
2240,10002,4812875140,1444.149,0.9999,7500.000,8250.000,10900.000,0,0,0
2270,10002,4878678590,1443.294,0.9999,7800.000,8580.000,11600.000,0,0,0
2300,10002,4942664027,1451.896,0.9999,7900.000,8690.000,11100.000,0,0,0
2330,10002,5006985302,1455.553,0.9999,7700.000,8470.000,11200.000,0,0,0
2360,10002,5071529457,1459.296,0.9999,7800.000,8580.000,11500.000,0,0,0
2390,10002,5135437118,1458.885,0.9999,7600.000,8360.000,12500.000,0,0,0
2420,10000,5198987944,1469.028,0.9999,7800.000,8580.000,11900.000,0,0,0
2450,10000,5264014731,1470.283,0.9999,7600.000,8360.000,11200.000,0,0,0
2480,10000,5327944735,1478.748,0.9999,7600.000,8360.000,11300.000,0,0,0
2510,10000,5393073672,1478.597,0.9999,7800.000,8580.000,13700.000,0,0,0
2540,10000,5457343802,1486.382,0.9999,7600.000,8360.000,12000.000,0,0,0
2570,10000,5521761092,1489.669,0.9999,7600.000,8360.000,11900.000,0,0,0
2600,10000,5586233868,1489.531,0.9999,7600.000,8360.000,12000.000,0,0,0
2630,10000,5650321761,1502.808,0.9999,7800.000,8580.000,12100.000,0,0,0
2660,10000,5714995625,1501.474,0.9999,7700.000,8470.000,11500.000,0,0,0
2690,10000,5779840597,1505.211,0.9999,7900.000,8690.000,13200.000,0,0,0
2720,10000,5843694395,1510.410,0.9999,7700.000,8470.000,11300.000,0,0,0
2750,10000,5908391702,1516.094,0.9999,7800.000,8580.000,11900.000,0,0,0
2780,10000,5971634775,1515.404,0.9999,7700.000,8470.000,12500.000,0,0,0
2810,10000,6037080801,1514.108,0.9999,7700.000,8470.000,11400.000,0,0,0
2840,10000,6101981116,1521.172,0.9999,7600.000,8360.000,10500.000,0,0,0
2870,10000,6166415742,1530.245,0.9999,7900.000,8690.000,11600.000,0,0,0
2900,10000,6230718627,1535.348,0.9999,7700.000,8470.000,11300.000,0,0,0
2930,10000,6295097420,1535.091,0.9999,7700.000,8470.000,11000.000,0,0,0
2960,10000,6359718124,1536.706,0.9999,7700.000,8470.000,12300.000,0,0,0
2990,10000,6423922948,1543.923,0.9999,7700.000,8470.000,11000.000,0,0,0
3000,10000,6445541133,1544.003,0.9999,7900.000,8690.000,11400.000,0,0,0
3040,10000,6530926087,1553.058,0.9999,7800.000,8580.000,12100.000,0,0,0
3080,10000,6617513504,1551.252,0.9999,8100.000,8910.000,12800.000,0,0,0
3120,10000,6702914820,1561.756,0.9999,7700.000,8470.000,12100.000,0,0,0
3160,10000,6788837652,1564.456,0.9999,7900.000,8690.000,10600.000,0,0,0
3200,10000,6874915999,1566.743,0.9999,8000.000,8800.000,12900.000,0,0,0
3240,10000,6961551529,1570.401,0.9999,8000.000,8800.000,12000.000,0,0,0
3280,10000,7046605879,1577.526,0.9999,7800.000,8580.000,11200.000,0,0,0
3320,10000,7133009073,1587.954,0.9999,7900.000,8690.000,11900.000,0,0,0
3360,10000,7218364198,1585.783,0.9999,8100.000,8910.000,11300.000,0,0,0
3400,10000,7304746578,1588.753,0.9999,7700.000,8470.000,11900.000,0,0,0
3440,10000,7390809370,1597.918,0.9999,7900.000,8690.000,13200.000,0,0,0
3480,10000,7477260812,1595.064,0.9999,8100.000,8910.000,11500.000,0,0,0
3520,10000,7562616913,1597.668,0.9999,7900.000,8690.000,11900.000,0,0,0
